Price,Close,High,Low,Open,Volume
Ticker,MNDI.L,MNDI.L,MNDI.L,MNDI.L,MNDI.L
Date,,,,,
2023-05-23,1438.378173828125,1447.1755210786537,1423.5325511898022,1432.8797860335958,1149425
2023-05-24,1421.3331298828125,1431.780139964819,1413.0855481502167,1427.931170861983,1245403
2023-05-25,1395.49072265625,1421.8830084396832,1395.49072265625,1419.6835801042546,844933
2023-05-26,1410.3363037109375,1416.9343444537185,1398.6028060251465,1405.9375692042413,825155
2023-05-30,1403.73828125,1424.6321789030276,1403.73828125,1418.0341380743157,880019
2023-05-31,1369.098388671875,1398.7897548958617,1365.2495417635412,1393.8411328412678,3521804
2023-06-01,1376.7962646484375,1386.693265120781,1366.3492545444192,1369.098448461077,1036743
2023-06-02,1419.68359375,1425.181981589626,1385.593613551225,1388.342807471038,2097517
2023-06-05,1385.0438232421875,1432.8797721853698,1371.297853888714,1429.5806907267245,2416705
2023-06-06,1397.6900634765625,1404.8379921828139,1377.3460525699497,1382.2946749209852,1745680
2023-06-07,1382.8443603515625,1394.3910231336067,1376.2463196337628,1393.8411355594042,920347
2023-06-08,1383.394287109375,1397.1402565085214,1381.7447463745714,1383.944052664623,1109975
2023-06-09,1366.899169921875,1381.194905358318,1365.2496291314494,1380.645139784532,1056560
2023-06-12,1368.5487060546875,1376.2464003377643,1365.2496244850643,1376.2464003377643,1109251
2023-06-13,1369.098388671875,1382.2945921162666,1369.098388671875,1376.7962045230681,857652
2023-06-14,1387.79296875,1403.1883562617568,1371.297806100668,1382.8443467344855,1805301
2023-06-15,1396.59033203125,1398.7897602977387,1364.1498939199105,1389.4424037255828,2364135
2023-06-16,1386.6932373046875,1403.7382880598668,1383.3942778915916,1393.2914001999368,3126410
2023-06-19,1372.947265625,1387.2431224939685,1372.947265625,1384.4939286372073,731388
2023-06-20,1362.5003662109375,1376.7962229584864,1357.805819976141,1369.0984070042186,1010810
2023-06-21,1317.41357421875,1357.551827449979,1314.1144928988315,1355.3523992251921,1441644
2023-06-22,1297.619384765625,1320.7125888695693,1296.519731624395,1308.6161602469822,1635003
2023-06-23,1303.1177978515625,1311.915267221568,1291.0213689937034,1297.6194100039418,959537
2023-06-26,1311.3653564453125,1314.664437909388,1290.5660353469143,1305.3172031405466,1787137
2023-06-27,1311.3653564453125,1320.1628256598274,1294.3204276396673,1310.815590890986,1033750
2023-06-28,1319.063232421875,1329.5101208083438,1303.1178340007227,1303.1178340007227,1299410
2023-06-29,1313.014892578125,1324.0116680404847,1305.3171985682848,1316.3139740306444,805760
2023-06-30,1318.5133056640625,1332.2592752563446,1316.6218924652808,1322.3621527429952,2228917
